"latlon",name
55.58226937.659774,"Бирюлёво жд пассажирская"
55.58251237.664124,"Zebra Resist"
55.5828137.730982,"Памятник Джипу"
55.58299737.595734,"Atlantis Gallery "
55.58321937.693596,"Стальной Аист."
55.58337637.681299,"Мельница И Телега"
55.5838137.661549,Бирюлёво-пассажирская
55.58389837.733787,"Памятник Трактору"
55.58396337.697086,"Детская Площадка"
55.58397737.598776,"Юлмарт Аннино"
55.58409537.682368,Лошади
55.58427437.66254,"Площадка У Управы"
55.58497837.645356,Башни
55.58551637.695709,Паровозик
55.58570737.59543,"Хоккейная Коробка"
55.58587137.545493,"Табличка Битца"
55.58654637.722133,"Граффити В Вегасе "
55.58677737.724595,"Ferris Wheel"
55.58685937.757191,"Детский Комплекс"
55.5871337.719579,"Vegas Megamall"
55.58794837.639587,"Бирюлево западное"
55.58808237.651547,Художник
55.5881137.640848,Городок
55.58821937.646809,Замок
55.58848837.54305,Левы
55.58864637.684694,Domino
55.58875537.753547,"Сцена На Площади"
55.58916637.680194,"Red Dolmen"
55.58917237.679257,"Белки Делят Орех"
55.58963837.663736,"Рисунок У Переезда"
55.58989237.542734,"Горка С Рыбкой "
55.58993237.548659,"Вольная  мельница"
55.58993837.651378,"церковь в бирюлево"
55.59015937.594863,"Детский Городок"
55.59020837.585741,"Wooden Gazebo"
55.59026937.61537,"Станция Красный Строитель"
55.59028637.757123,"Граффити Лис"
55.59031437.598656,Клумба
55.59057437.59665,"Graffiti on the Wall"
55.59061337.761072,"Храм Иосифа"
55.59079437.610247,"Murals Yellow & Brown"
55.59092337.703351,Котик
55.59092537.661018,Поля
55.59108737.73276,"Сказочный Домик "
55.59126437.664393,"Кафе Шарманка"
55.59128637.677242,"Дом Ежей"
55.59133137.677932,"Красный Истукан"
55.59141437.752683,"Место Детской Боли И Радости "
55.59162237.608543,Square
55.59235437.547374,"Little Tour De Eiffel"
55.59244537.649256,Спортплощадка
55.59257737.653805,"Платформа Бирюлёво-Товарная"
55.59262437.582814,"Графики Двое"
55.59291737.546762,Women
55.59299637.649407,Березки
55.59328737.55485,"Birds Food Station"
55.59333837.649891,"Горка И Качели"
55.5936537.604111,Баскетбол
55.59369937.557573,Совушка
55.59371937.672194,"Железная Мельница"
55.59372637.595183,Borodino
55.59379637.540614,"WWII Monument - Yasenevo"
55.59403537.650473,"Горка Слоник"
55.59452237.535209,"С Днем Победы"
55.59470237.738164,"Аист Мира "
55.59480537.667827,"Beverly Восточное"
55.59502237.648397,"Горка Паровозик"
55.59524537.586684,"Вход в лесопарк с знаком "Добро Пожаловать""
55.59529537.666419,Замок
55.59573837.709463,"Правила Пользования"
55.5957437.537738,"Underwater Fishermen"
55.59579637.601563,"Памятник Милиционеру Михаилу Тарасову"
55.59589237.678554,Кормушка
55.59593737.57531,"Граффити Лица"
55.59623937.60127,"Метро Ул. Ак. Янгеля"
55.59624737.724255,"Детская Площадка"
55.59639937.558974,Сова
55.59686337.610245,"Горка 80-х "
55.59689137.671456,"Beerulevo Mill Sign"
55.59691437.679494,"Стойка Wi—fi"
